編號,字元,UNICODE,區段,CNS11643,Big5,筆畫,部首
1,一,U+4E00,URO,1-4421,A440,1,一
2,丁,U+4E01,URO,1-4423,A442,2,一
3,七,U+4E03,URO,1-4424,A443,2,一
4,万,U+4E07,URO,2-2126,C945,3,一
5,丈,U+4E08,URO,1-4437,A456,3,一
6,三,U+4E09,URO,1-4435,A454,3,一
7,上,U+4E0A,URO,1-4438,A457,3,一
8,下,U+4E0B,URO,1-4436,A455,3,一
9,不,U+4E0D,URO,1-4462,A4A3,4,一
10,丐,U+4E10,URO,1-4461,A4A2,4,一
11,丑,U+4E11,URO,1-4460,A4A1,4,一
12,且,U+4E14,URO,1-4562,A542,5,一
13,丕,U+4E15,URO,1-4561,A541,5,一
14,世,U+4E16,URO,1-4560,A540,5,一
15,丘,U+4E18,URO,1-4563,A543,5,一
16,丙,U+4E19,URO,1-455F,A4FE,5,一
17,丞,U+4E1E,URO,1-4722,A5E0,6,一
18,丟,U+4E1F,URO,1-4723,A5E1,6,一
19,並,U+4E26,URO,1-4B64,A8C3,8,一
20,丩,U+4E29,URO,4-2127,,2,丨
21,个,U+4E2A,URO,3-212C,,3,丨
22,丫,U+4E2B,URO,1-4439,A458,3,丨
23,中,U+4E2D,URO,1-4463,A4A4,4,丨
24,丰,U+4E30,URO,1-4464,A4A5,4,丨
25,串,U+4E32,URO,1-486B,A6EA,7,丨
26,丸,U+4E38,URO,1-443A,A459,3,丶
27,丹,U+4E39,URO,1-4465,A4A6,4,丶
28,主,U+4E3B,URO,1-4564,A544,5,丶
29,丼,U+4E3C,URO,2-2144,C964,5,丶
30,乃,U+4E43,URO,1-4425,A444,2,丿
31,久,U+4E45,URO,1-443C,A45B,3,丿
32,么,U+4E48,URO,1-443D,A45C,3,丿
33,之,U+4E4B,URO,1-4466,A4A7,4,丿
34,乍,U+4E4D,URO,1-4565,A545,5,丿
35,乎,U+4E4E,URO,1-4567,A547,5,丿
36,乏,U+4E4F,URO,1-4566,A546,5,丿
37,乒,U+4E52,URO,1-4724,A5E2,6,丿
38,乓,U+4E53,URO,1-4725,A5E3,6,丿
39,乖,U+4E56,URO,1-4B65,A8C4,8,丿
40,乘,U+4E58,URO,1-537D,ADBC,10,丿
41,乙,U+4E59,URO,1-4422,A441,1,乙
42,乜,U+4E5C,URO,2-2122,C941,2,乙
43,九,U+4E5D,URO,1-4426,A445,2,乙
44,乞,U+4E5E,URO,1-443F,A45E,3,乙
45,也,U+4E5F,URO,1-443E,A45D,3,乙
46,乩,U+4E69,URO,1-4726,A5E4,6,乙
47,乳,U+4E73,URO,1-4B66,A8C5,8,乙
48,乾,U+4E7E,URO,1-5871,B0AE,11,乙
49,亂,U+4E82,URO,1-632A,B6C3,13,乙
50,了,U+4E86,URO,1-4427,A446,2,亅
51,予,U+4E88,URO,1-4468,A4A9,4,亅
52,事,U+4E8B,URO,1-4B67,A8C6,8,亅
53,二,U+4E8C,URO,1-4428,A447,2,二
54,亍,U+4E8D,URO,2-2129,C948,3,二
55,于,U+4E8E,URO,1-4440,A45F,3,二
56,云,U+4E91,URO,1-4469,A4AA,4,二
57,互,U+4E92,URO,1-446B,A4AC,4,二
58,五,U+4E94,URO,1-446C,A4AD,4,二
59,井,U+4E95,URO,1-446A,A4AB,4,二
60,亙,U+4E99,URO,1-4727,A5E5,6,二
61,些,U+4E9B,URO,1-4B68,A8C7,8,二
62,亞,U+4E9E,URO,1-4B69,A8C8,8,二
63,亟,U+4E9F,URO,1-4F67,AB45,9,二
64,亡,U+4EA1,URO,1-4441,A460,3,亠
65,亢,U+4EA2,URO,1-446D,A4AE,4,亠
66,交,U+4EA4,URO,1-4728,A5E6,6,亠
67,亥,U+4EA5,URO,1-472A,A5E8,6,亠
68,亦,U+4EA6,URO,1-4729,A5E7,6,亠
69,亨,U+4EA8,URO,1-486C,A6EB,7,亠
70,享,U+4EAB,URO,1-4B6A,A8C9,8,亠
71,京,U+4EAC,URO,1-4B6B,A8CA,8,亠
72,亭,U+4EAD,URO,1-4F68,AB46,9,亠
73,亮,U+4EAE,URO,1-4F69,AB47,9,亠
74,人,U+4EBA,URO,1-4429,A448,2,人
75,亼,U+4EBC,URO,3-2132,,3,人
76,仁,U+4EC1,URO,1-446E,A4AF,4,人
77,仂,U+4EC2,URO,2-2132,C952,4,人
78,仃,U+4EC3,URO,1-4470,A4B1,4,人
79,仄,U+4EC4,URO,1-4476,A4B7,4,人
80,仆,U+4EC6,URO,1-4471,A4B2,4,人
81,仇,U+4EC7,URO,1-4472,A4B3,4,人
82,今,U+4ECA,URO,1-4474,A4B5,4,人
83,介,U+4ECB,URO,1-4475,A4B6,4,人
84,仍,U+4ECD,URO,1-4473,A4B4,4,人
85,仔,U+4ED4,URO,1-456A,A54A,5,人
86,仕,U+4ED5,URO,1-456B,A54B,5,人
87,他,U+4ED6,URO,1-456C,A54C,5,人
88,仗,U+4ED7,URO,1-456D,A54D,5,人
89,付,U+4ED8,URO,1-4569,A549,5,人
90,仙,U+4ED9,URO,1-4570,A550,5,人
91,仝,U+4EDD,URO,2-2149,C969,5,人
92,仞,U+4EDE,URO,1-4571,A551,5,人
93,仟,U+4EDF,URO,1-4623,A561,5,人
94,代,U+4EE3,URO,1-456E,A54E,5,人
95,令,U+4EE4,URO,1-456F,A54F,5,人
96,以,U+4EE5,URO,1-4568,A548,5,人
97,仰,U+4EF0,URO,1-4737,A5F5,6,人
98,仲,U+4EF2,URO,1-4734,A5F2,6,人
99,仵,U+4EF5,URO,2-216D,C9AE,6,人
100,件,U+4EF6,URO,1-4735,A5F3,6,人
101,任,U+4EFB,URO,1-4736,A5F4,6,人
102,份,U+4EFD,URO,1-4739,A5F7,6,人
103,仿,U+4EFF,URO,1-472B,A5E9,6,人
104,企,U+4F01,URO,1-473A,A5F8,6,人
105,伉,U+4F09,URO,1-472C,A5EA,6,人
106,伊,U+4F0A,URO,1-472E,A5EC,6,人
107,伍,U+4F0D,URO,1-4730,A5EE,6,人
108,伎,U+4F0E,URO,2-216A,C9AB,6,人
109,伏,U+4F0F,URO,1-4733,A5F1,6,人
110,伐,U+4F10,URO,1-4731,A5EF,6,人
111,休,U+4F11,URO,1-4732,A5F0,6,人
112,伓,U+4F13,URO,2-2177,C9B8,6,人
113,伕,U+4F15,URO,1-472F,A5ED,6,人
114,伙,U+4F19,URO,1-472D,A5EB,6,人
115,伨,U+4F28,URO,3-2272,,6,人
116,伯,U+4F2F,URO,1-4924,A742,7,人
117,估,U+4F30,URO,1-4875,A6F4,7,人
118,伴,U+4F34,URO,1-4872,A6F1,7,人
119,伶,U+4F36,URO,1-4926,A744,7,人
120,伸,U+4F38,URO,1-487A,A6F9,7,人
121,伺,U+4F3A,URO,1-4879,A6F8,7,人
122,伻,U+4F3B,URO,2-227B,CA5B,7,人
123,似,U+4F3C,URO,1-487D,A6FC,7,人
124,伽,U+4F3D,URO,1-4878,A6F7,7,人
125,佃,U+4F43,URO,1-487B,A6FA,7,人
126,佅,U+4F45,URO,3-2443,,7,人
127,但,U+4F46,URO,1-487E,A6FD,7,人
128,佇,U+4F47,URO,1-486F,A6EE,7,人
129,佈,U+4F48,URO,1-4929,A747,7,人
130,位,U+4F4D,URO,1-486D,A6EC,7,人
131,低,U+4F4E,URO,1-4925,A743,7,人
132,住,U+4F4F,URO,1-486E,A6ED,7,人
133,佐,U+4F50,URO,1-4876,A6F5,7,人
134,佑,U+4F51,URO,1-4877,A6F6,7,人
135,佔,U+4F54,URO,1-487C,A6FB,7,人
136,何,U+4F55,URO,1-4874,A6F3,7,人
137,佗,U+4F57,URO,1-4870,A6EF,7,人
138,佘,U+4F58,URO,2-2327,CA65,7,人
139,余,U+4F59,URO,1-4927,A745,7,人
140,佚,U+4F5A,URO,1-492A,A748,7,人
141,佛,U+4F5B,URO,1-4873,A6F2,7,人
142,作,U+4F5C,URO,1-4922,A740,7,人
143,佞,U+4F5E,URO,1-4871,A6F0,7,人
144,佟,U+4F5F,URO,2-2325,CA63,7,人
145,你,U+4F60,URO,1-4923,A741,7,人
146,佢,U+4F62,URO,2-227C,CA5C,7,人
147,佣,U+4F63,URO,1-4921,A6FE,7,人
148,佩,U+4F69,URO,1-4B79,A8D8,8,人
149,佬,U+4F6C,URO,1-4B71,A8D0,8,人
150,佮,U+4F6E,URO,2-254C,CBCC,8,人
151,佯,U+4F6F,URO,1-4B6C,A8CB,8,人
152,佰,U+4F70,URO,1-4B76,A8D5,8,人
153,佳,U+4F73,URO,1-4B6F,A8CE,8,人
154,併,U+4F75,URO,1-4B77,A8D6,8,人
155,佶,U+4F76,URO,2-2538,CBB8,8,人
156,佻,U+4F7B,URO,1-4B7A,A8D9,8,人
157,佼,U+4F7C,URO,2-2533,CBB3,8,人
158,佾,U+4F7E,URO,1-4B7C,A8DB,8,人
159,使,U+4F7F,URO,1-4B70,A8CF,8,人
160,侃,U+4F83,URO,1-4B75,A8D4,8,人
161,侄,U+4F84,URO,2-253B,CBBB,8,人
162,來,U+4F86,URO,1-4B74,A8D3,8,人
163,侈,U+4F88,URO,1-4B78,A8D7,8,人
164,例,U+4F8B,URO,1-4B73,A8D2,8,人
165,侍,U+4F8D,URO,1-4B6E,A8CD,8,人
166,侏,U+4F8F,URO,1-4B7D,A8DC,8,人
167,侑,U+4F91,URO,1-4B7E,A8DD,8,人
168,侖,U+4F96,URO,1-4B7B,A8DA,8,人
169,侗,U+4F97,URO,2-253E,CBBE,8,人
170,供,U+4F9B,URO,1-4B72,A8D1,8,人
171,依,U+4F9D,URO,1-4B6D,A8CC,8,人
172,侮,U+4FAE,URO,1-4F78,AB56,9,人
173,侯,U+4FAF,URO,1-4F6C,AB4A,9,人
174,侵,U+4FB5,URO,1-4F6B,AB49,9,人
175,侶,U+4FB6,URO,1-4F73,AB51,9,人
176,侷,U+4FB7,URO,1-5021,AB5D,9,人
177,侹,U+4FB9,URO,2-2930,CDEE,9,人
178,侺,U+4FBA,URO,2-292E,CDEC,9,人
179,便,U+4FBF,URO,1-4F6D,AB4B,9,人
180,係,U+4FC2,URO,1-4F7B,AB59,9,人
181,促,U+4FC3,URO,1-4F72,AB50,9,人
182,俄,U+4FC4,URO,1-4F7A,AB58,9,人
183,俊,U+4FCA,URO,1-4F76,AB54,9,人
184,俍,U+4FCD,URO,2-287D,CDDD,9,人
185,俎,U+4FCE,URO,1-4F7D,AB5B,9,人
186,俏,U+4FCF,URO,1-4F70,AB4E,9,人
